minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent,game_id
90+1,Pape Matar Sarr,Tottenham,0.04,,Blocked,25.0,Right Foot,,Bryan Gil,Pass (Live),Dejan Kulusevski,Pass (Live),West Ham,200af033
90+4,Pedro Porro,Tottenham,0.05,,Blocked,24.0,Right Foot,Free kick,Pedro Porro,Fouled,Pape Matar Sarr,Pass (Live),West Ham,200af033
90+5,Richarlison,Tottenham,0.04,,Off Target,11.0,Head,,Pedro Porro,Pass (Dead),Pedro Porro,Shot,West Ham,200af033
1,Kai Havertz,Arsenal,0.02,,Blocked,15.0,Left Foot,,Kai Havertz,Pass (Live),Gabriel Martinelli,Pass (Live),Aston Villa,8cf29e50
5,Ollie Watkins,Aston Villa,0.02,,Blocked,18.0,Right Foot,,John McGinn,Pass (Live),Ollie Watkins,Pass (Live),Arsenal,8cf29e50
6,Bukayo Saka,Arsenal,0.27,,Off Target,9.0,Right Foot,,Gabriel Martinelli,Pass (Live),Bukayo Saka,Pass (Live),Aston Villa,8cf29e50
7,John McGinn,Aston Villa,0.14,0.22,Goal,9.0,Left Foot,Deflected,Leon Bailey,Pass (Live),Youri Tielemans,Pass (Live),Arsenal,8cf29e50
16,Bukayo Saka,Arsenal,0.07,,Blocked,13.0,Left Foot,,Kai Havertz,Pass (Live),Kai Havertz,Tackle,Aston Villa,8cf29e50
23,Lucas Digne,Aston Villa,0.05,,Blocked,29.0,Left Foot,Free kick,Youri Tielemans,Fouled,John McGinn,Pass (Live),Arsenal,8cf29e50
23,Douglas Luiz,Aston Villa,0.01,,Blocked,29.0,Left Foot,Volley,Lucas Digne,Shot,nan,nan,Arsenal,8cf29e50
32,Bukayo Saka,Arsenal,0.03,0.11,Saved,15.0,Left Foot,,Martin Ødegaard,Pass (Live),Declan Rice,Pass (Live),Aston Villa,8cf29e50
32,Ollie Watkins,Aston Villa,0.03,,Saved off Target,25.0,Right Foot,,Emiliano Martínez,Pass (Live),nan,nan,Arsenal,8cf29e50
33,Martin Odegaard,Arsenal,0.02,,Off Target,21.0,Left Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),Aston Villa,8cf29e50
36,Gabriel Martinelli,Arsenal,0.22,,Blocked,18.0,Right Foot,,Gabriel Dos Santos,Pass (Live),William Saliba,Pass (Live),Aston Villa,8cf29e50
39,Martin Odegaard,Arsenal,0.18,0.31,Saved,14.0,Left Foot,,Gabriel Jesus,Pass (Live),Kai Havertz,Pass (Live),Aston Villa,8cf29e50
42,Gabriel Jesus,Arsenal,0.04,0.35,Saved,14.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Gabriel Dos Santos,Pass (Dead),Aston Villa,8cf29e50
57,William Saliba,Arsenal,0.32,,Blocked,2.0,Right Foot,Volley,Declan Rice,Pass (Live),William Saliba,Pass (Live),Aston Villa,8cf29e50
58,Martin Odegaard,Arsenal,0.12,,Off Target,16.0,Left Foot,,Kai Havertz,Pass (Live),Oleksandr Zinchenko,Pass (Live),Aston Villa,8cf29e50
61,Lucas Digne,Aston Villa,0.04,0.08,Saved,15.0,Left Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live),Arsenal,8cf29e50
68,Ollie Watkins,Aston Villa,0.15,0.07,Saved,17.0,Right Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live),Arsenal,8cf29e50
71,Declan Rice,Arsenal,0.07,,Blocked,25.0,Right Foot,Free kick,Martin Ødegaard,Fouled,Bukayo Saka,Pass (Live),Aston Villa,8cf29e50
76,Matty Cash,Aston Villa,0.02,,Off Target,32.0,Right Foot,,nan,nan,nan,nan,Arsenal,8cf29e50
90+5,John McGinn,Aston Villa,0.08,,Blocked,10.0,Left Foot,,Douglas Luiz,Pass (Live),nan,nan,Arsenal,8cf29e50
90+5,Leander Dendoncker,Aston Villa,0.03,,Blocked,23.0,Left Foot,,Jacob Ramsey,Tackle,nan,nan,Arsenal,8cf29e50
90+8,Eddie Nketiah,Arsenal,0.05,,Off Target,16.0,Head,,Declan Rice,Pass (Live),Martin Ødegaard,Pass (Live),Aston Villa,8cf29e50
8,Wilson Odobert,Burnley,0.06,,Blocked,14.0,Left Foot,,Zeki Amdouni,Pass (Live),Sander Berge,Pass (Live),Brighton,ab18fa97
10,Johann Berg Gudmundsson,Burnley,0.04,,Off Target,17.0,Left Foot,,Sander Berge,Pass (Live),Dara O'Shea,Pass (Live),Brighton,ab18fa97
15,Pascal Gross,Brighton,0.03,,Blocked,28.0,Right Foot,Free kick,Evan Ferguson,Fouled,Evan Ferguson,Tackle,Burnley,ab18fa97
15,Joao Pedro,Brighton,0.01,0.08,Saved,14.0,Head,,Carlos Baleba,Pass (Live),Pascal Groß,Shot,Burnley,ab18fa97
19,Zeki Amdouni,Burnley,0.08,0.02,Saved,17.0,Left Foot,,Jóhann Berg Guðmundsson,Pass (Live),Zeki Amdouni,Pass (Live),Brighton,ab18fa97
20,Adam Lallana,Brighton,0.04,,Off Target,16.0,Left Foot,,Lewis Dunk,Pass (Live),Mahmoud Dahoud,Pass (Live),Burnley,ab18fa97
25,Pascal Gross,Brighton,0.12,,Off Target,8.0,Head,,James Milner,Pass (Live),João Pedro,Pass (Live),Burnley,ab18fa97
28,Pascal Gross,Brighton,0.1,0.35,Saved,12.0,Right Foot,,Simon Adingra,Pass (Live),João Pedro,Pass (Live),Burnley,ab18fa97
30,Simon Adingra,Brighton,0.11,,Blocked,15.0,Left Foot,,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live),Burnley,ab18fa97
34,James Milner,Brighton,0.04,0.21,Saved,18.0,Right Foot,,Evan Ferguson,Pass (Live),nan,nan,Burnley,ab18fa97
35,Jan Paul van Hecke,Brighton,0.08,,Off Target,11.0,Head,,Simon Adingra,Pass (Live),Pascal Groß,Interception,Burnley,ab18fa97
36,Mahmoud Dahoud,Brighton,0.08,,Off Target,24.0,Right Foot,,Pascal Groß,Pass (Live),Adam Lallana,Pass (Live),Burnley,ab18fa97
40,Mahmoud Dahoud,Brighton,0.03,,Off Target,29.0,Right Foot,,James Milner,Pass (Live),João Pedro,Pass (Live),Burnley,ab18fa97
45,Wilson Odobert,Burnley,0.05,0.2,Goal,22.0,Right Foot,Deflected,Jay Rodriguez,Pass (Live),Sander Berge,Pass (Live),Brighton,ab18fa97
48,Billy Gilmour,Brighton,0.04,,Blocked,26.0,Right Foot,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),Burnley,ab18fa97
49,Jay Rodriguez,Burnley,0.29,0.88,Saved,3.0,Left Foot,,Wilson Odobert,Take-On,Josh Brownhill,Pass (Live),Brighton,ab18fa97
49,Jay Rodriguez,Burnley,0.08,,Blocked,5.0,Right Foot,,Jay Rodriguez,Shot,nan,nan,Brighton,ab18fa97
56,Joao Pedro,Brighton,0.06,,Blocked,14.0,Right Foot,,James Milner,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley,ab18fa97
63,Kaoru Mitoma,Brighton,0.05,,Off Target,18.0,Right Foot,,Simon Adingra,Pass (Live),Simon Adingra,Pass (Live),Burnley,ab18fa97
64,Evan Ferguson,Brighton,0.1,,Off Target,9.0,Head,,Jan Paul van Hecke,Pass (Live),Billy Gilmour,Pass (Live),Burnley,ab18fa97
70,Joao Pedro,Brighton,0.25,0.09,Saved,8.0,Head,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),Burnley,ab18fa97
74,Simon Adingra,Brighton,0.17,0.61,Saved,5.0,Right Foot,Volley,João Pedro,Pass (Live),Pascal Groß,Pass (Live),Burnley,ab18fa97
74,Joao Pedro,Brighton,0.04,,Off Target,8.0,Head,,Pascal Groß,Pass (Dead),Simon Adingra,Shot,Burnley,ab18fa97
77,Kaoru Mitoma,Brighton,0.04,,Blocked,15.0,Right Foot,,Lewis Dunk,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley,ab18fa97
77,Simon Adingra,Brighton,0.34,0.87,Goal,6.0,Head,,Pascal Groß,Pass (Live),Igor,Pass (Live),Burnley,ab18fa97
87,Pascal Gross,Brighton,0.06,0.31,Saved,29.0,Right Foot,Free kick,Facundo Buonanotte,Fouled,Evan Ferguson,Pass (Live),Burnley,ab18fa97
90+1,Jack Hinshelwood,Brighton,0.33,0.81,Saved,5.0,Right Foot,,Jack Hinshelwood,Shot,nan,nan,Burnley,ab18fa97
90+1,Jack Hinshelwood,Brighton,0.17,,Blocked,8.0,Other,,Pascal Groß,Pass (Live),Kaoru Mitoma,Pass (Live),Burnley,ab18fa97
90+2,Jack Hinshelwood,Brighton,0.14,,Off Target,9.0,Head,,Kaoru Mitoma,Pass (Live),Pascal Groß,Pass (Live),Burnley,ab18fa97
90+4,Jack Hinshelwood,Brighton,0.04,0.34,Saved,11.0,Head,,Simon Adingra,Pass (Live),Billy Gilmour,Pass (Live),Burnley,ab18fa97
90+5,Billy Gilmour,Brighton,0.02,,Off Target,20.0,Right Foot,Volley,Jack Hinshelwood,Shot,nan,nan,Burnley,ab18fa97
90+6,Evan Ferguson,Brighton,0.08,0.03,Saved,10.0,Head,,Pascal Groß,Pass (Live),Kaoru Mitoma,Pass (Live),Burnley,ab18fa97
90+7,Kaoru Mitoma,Brighton,0.12,0.3,Saved,11.0,Right Foot,Volley,Billy Gilmour,Pass (Live),Simon Adingra,Pass (Live),Burnley,ab18fa97
90+8,Kaoru Mitoma,Brighton,0.05,,Off Target,13.0,Right Foot,,Pascal Groß,Pass (Live),Simon Adingra,Pass (Dead),Burnley,ab18fa97
90+8,Kaoru Mitoma,Brighton,0.04,,Blocked,13.0,Left Foot,,Simon Adingra,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley,ab18fa97
3,Kostas Tsimikas,Liverpool,0.02,,Off Target,30.0,Left Foot,,nan,nan,nan,nan,Crystal Palace,a1b18af3
15,Luis Diaz,Liverpool,0.02,,Blocked,26.0,Right Foot,,Kostas Tsimikas,Pass (Live),Darwin Núñez,Pass (Live),Crystal Palace,a1b18af3
16,Dominik Szoboszlai,Liverpool,0.01,,Off Target,31.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace,a1b18af3
16,Ryan Gravenberch,Liverpool,0.02,,Blocked,18.0,Right Foot,,Luis Díaz,Pass (Live),Kostas Tsimikas,Pass (Live),Crystal Palace,a1b18af3
27,Jefferson Lerma,Crystal Palace,0.5,0.47,Saved,11.0,Right Foot,,Jordan Ayew,Pass (Live),Jeffrey Schlupp,Pass (Live),Liverpool,a1b18af3
45+2,Mohamed Salah,Liverpool,0.11,,Blocked,13.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace,a1b18af3
45+2,Dominik Szoboszlai,Liverpool,0.11,,Blocked,16.0,Left Foot,,Mohamed Salah,Shot,nan,nan,Crystal Palace,a1b18af3
48,Luis Diaz,Liverpool,0.03,,Off Target,23.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace,a1b18af3
48,Darwin Nunez,Liverpool,0.2,,Off Target,10.0,Head,,Luis Díaz,Shot,nan,nan,Crystal Palace,a1b18af3
50,Jefferson Lerma,Crystal Palace,0.02,,Off Target,14.0,Head,,Will Hughes,Pass (Dead),Jeffrey Schlupp,Fouled,Liverpool,a1b18af3
53,Jefferson Lerma,Crystal Palace,0.01,,Off Target,16.0,Head,,Will Hughes,Pass (Dead),nan,nan,Liverpool,a1b18af3
57,Jean-Philippe Mateta (pen),Crystal Palace,0.79,0.97,Goal,13.0,Right Foot,,Jean-Philippe Mateta,Fouled,Will Hughes,Pass (Live),Liverpool,a1b18af3
61,Jeffrey Schlupp,Crystal Palace,0.06,0.02,Saved,25.0,Right Foot,,Jean-Philippe Mateta,Pass (Live),Jefferson Lerma,Pass (Live),Liverpool,a1b18af3
62,Mohamed Salah,Liverpool,0.09,,Blocked,14.0,Right Foot,,Joe Gomez,Pass (Live),Cody Gakpo,Pass (Live),Crystal Palace,a1b18af3
70,Virgil van Dijk,Liverpool,0.15,,Off Target,7.0,Head,,Trent Alexander-Arnold,Pass (Dead),nan,nan,Crystal Palace,a1b18af3
71,Darwin Nunez,Liverpool,0.29,,Off Target,6.0,Right Foot,Volley,Trent Alexander-Arnold,Pass (Dead),Cody Gakpo,Fouled,Crystal Palace,a1b18af3
72,Jeffrey Schlupp,Crystal Palace,0.02,,Blocked,28.0,Left Foot,,Will Hughes,Pass (Live),Chris Richards,Interception,Liverpool,a1b18af3
76,Mohamed Salah,Liverpool,0.14,0.15,Goal,14.0,Left Foot,Deflected,Curtis Jones,Pass (Live),Joe Gomez,Pass (Live),Crystal Palace,a1b18af3
88,Harvey Elliott,Liverpool,0.04,,Off Target,12.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Harvey Elliott,Pass (Live),Crystal Palace,a1b18af3
90+1,Harvey Elliott,Liverpool,0.04,0.15,Goal,23.0,Left Foot,,Mohamed Salah,Pass (Live),Joe Gomez,Pass (Live),Crystal Palace,a1b18af3
90+10,Joachim Andersen,Crystal Palace,0.21,0.18,Saved,8.0,Head,,Michael Olise,Pass (Dead),Michael Olise,Fouled,Liverpool,a1b18af3
90+11,Jean-Philippe Mateta,Crystal Palace,0.14,,Blocked,8.0,Head,,Michael Olise,Pass (Dead),Joachim Andersen,Shot,Liverpool,a1b18af3
3,Diogo Dalot,Manchester Utd,0.12,,Off Target,15.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live),Bournemouth,0760a568
3,Sergio Reguilon,Manchester Utd,0.12,,Blocked,10.0,Right Foot,Volley,Diogo Dalot,Shot,nan,nan,Bournemouth,0760a568
5,Dominic Solanke,Bournemouth,0.25,0.74,Goal,8.0,Right Foot,,Lewis Cook,Pass (Live),Lewis Cook,Interception,Manchester Utd,0760a568
8,Harry Maguire,Manchester Utd,0.04,0.06,Saved,11.0,Head,,Sergio Reguilón,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth,0760a568
13,Scott McTominay,Manchester Utd,0.04,,Blocked,21.0,Right Foot,,Alejandro Garnacho,Pass (Live),Anthony Martial,Pass (Live),Bournemouth,0760a568
14,Harry Maguire,Manchester Utd,0.02,,Blocked,13.0,Head,,Bruno Fernandes,Pass (Dead),Scott McTominay,Shot,Bournemouth,0760a568
14,Scott McTominay,Manchester Utd,0.14,,Blocked,11.0,Right Foot,,Diogo Dalot,Pass (Live),Bruno Fernandes,Pass (Live),Bournemouth,0760a568
16,Marcus Tavernier,Bournemouth,0.08,0.09,Saved,15.0,Right Foot,,Marcos Senesi,Pass (Live),Lewis Cook,Pass (Live),Manchester Utd,0760a568
28,Illia Zabarnyi,Bournemouth,0.07,,Off Target,9.0,Head,,Marcus Tavernier,Pass (Dead),nan,nan,Manchester Utd,0760a568
28,Dominic Solanke,Bournemouth,0.03,,Off Target,9.0,Head,,Lewis Cook,Pass (Dead),Illia Zabarnyi,Shot,Manchester Utd,0760a568
35,Marcus Tavernier,Bournemouth,0.02,,Off Target,32.0,Left Foot,,Marcus Tavernier,Take-On,Antoine Semenyo,Pass (Live),Manchester Utd,0760a568
36,Anthony Martial,Manchester Utd,0.04,0.08,Saved,23.0,Left Foot,,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live),Bournemouth,0760a568
39,Dominic Solanke,Bournemouth,0.07,,Woodwork,14.0,Right Foot,,Lewis Cook,Pass (Live),Lewis Cook,Take-On,Manchester Utd,0760a568
45+1,Alejandro Garnacho,Manchester Utd,0.02,,Blocked,18.0,Right Foot,,Bruno Fernandes,Pass (Live),nan,nan,Bournemouth,0760a568
45+1,Dominic Solanke,Bournemouth,0.1,,Blocked,17.0,Right Foot,,Antoine Semenyo,Pass (Live),Dominic Solanke,Pass (Live),Manchester Utd,0760a568
48,Alejandro Garnacho,Manchester Utd,0.05,,Blocked,15.0,Right Foot,,Anthony Martial,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth,0760a568
49,Scott McTominay,Manchester Utd,0.08,,Blocked,16.0,Right Foot,,Antony,Pass (Live),Sergio Reguilón,Pass (Live),Bournemouth,0760a568
49,Bruno Fernandes,Manchester Utd,0.06,,Blocked,18.0,Right Foot,,Scott McTominay,Shot,nan,nan,Bournemouth,0760a568
49,Alejandro Garnacho,Manchester Utd,0.01,,Blocked,23.0,Right Foot,,Bruno Fernandes,Pass (Dead),Bruno Fernandes,Shot,Bournemouth,0760a568
57,Scott McTominay,Manchester Utd,0.05,,Off Target,10.0,Head,,Sergio Reguilón,Pass (Dead),Sofyan Amrabat,Pass (Live),Bournemouth,0760a568
61,Scott McTominay,Manchester Utd,0.04,0.04,Saved,12.0,Head,,Antony,Pass (Live),Harry Maguire,Pass (Live),Bournemouth,0760a568
65,Rasmus Hojlund,Manchester Utd,0.04,,Off Target,16.0,Left Foot,,Bruno Fernandes,Pass (Live),Rasmus Højlund,Pass (Live),Bournemouth,0760a568
65,Antony,Manchester Utd,0.06,,Blocked,13.0,Left Foot,,Rasmus Højlund,Shot,nan,nan,Bournemouth,0760a568
67,Diogo Dalot,Manchester Utd,0.04,,Off Target,12.0,Right Foot,,Antony,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth,0760a568
68,Philip Billing,Bournemouth,0.32,0.9,Goal,6.0,Other,,Marcus Tavernier,Pass (Live),Dominic Solanke,Pass (Live),Manchester Utd,0760a568
70,Scott McTominay,Manchester Utd,0.11,,Off Target,5.0,Left Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Live),Bournemouth,0760a568
73,Marcos Senesi,Bournemouth,0.11,0.39,Goal,9.0,Head,,Marcus Tavernier,Pass (Dead),Marcus Tavernier,Fouled,Manchester Utd,0760a568
76,Scott McTominay,Manchester Utd,0.05,,Blocked,21.0,Right Foot,,Rasmus Højlund,Tackle,nan,nan,Bournemouth,0760a568
78,Alejandro Garnacho,Manchester Utd,0.02,,Blocked,26.0,Right Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),Bournemouth,0760a568
85,Dominic Solanke,Bournemouth,0.42,,Off Target,9.0,Right Foot,,Philip Billing,Pass (Live),Philip Billing,Take-On,Manchester Utd,0760a568
2,Auston Trusty,Sheffield Utd,0.03,,Blocked,28.0,Left Foot,,Cameron Archer,Pass (Live),Gustavo Hamer,Pass (Live),Brentford,e268f518
36,Frank Onyeka,Brentford,0.04,0.02,Saved,29.0,Right Foot,,Frank Onyeka,Take-On,nan,nan,Sheffield Utd,e268f518
37,Frank Onyeka,Brentford,0.07,,Off Target,21.0,Left Foot,,Neal Maupay,Pass (Live),Neal Maupay,Take-On,Sheffield Utd,e268f518
37,William Osula,Sheffield Utd,0.06,,Off Target,17.0,Right Foot,,Gustavo Hamer,Pass (Live),Vinicius Souza,Pass (Live),Brentford,e268f518
41,Gustavo Hamer,Sheffield Utd,0.02,,Off Target,32.0,Right Foot,,Cameron Archer,Pass (Live),James Mcatee,Pass (Live),Brentford,e268f518
45,Neal Maupay,Brentford,0.07,,Blocked,15.0,Right Foot,,Vitaly Janelt,Pass (Live),Ben Mee,Pass (Live),Sheffield Utd,e268f518
45+1,James Mcatee,Sheffield Utd,0.03,0.63,Goal,21.0,Left Foot,,Gustavo Hamer,Pass (Live),nan,nan,Brentford,e268f518
45+4,Christian Norgaard,Brentford,0.09,,Blocked,17.0,Left Foot,,Keane Lewis-Potter,Pass (Live),Frank Onyeka,Pass (Live),Sheffield Utd,e268f518
56,Anis Ben Slimane,Sheffield Utd,0.35,0.16,Saved,10.0,Left Foot,,Cameron Archer,Pass (Live),nan,nan,Brentford,e268f518
59,Anis Ben Slimane,Sheffield Utd,0.02,0.05,Saved,29.0,Right Foot,,Cameron Archer,Pass (Live),Anel Ahmedhodžić,Pass (Live),Brentford,e268f518
68,Ethan Pinnock,Brentford,0.07,,Off Target,15.0,Left Foot,Volley,Michael Olakigbe,Take-On,Vitaly Janelt,Pass (Live),Sheffield Utd,e268f518
68,Christian Norgaard,Brentford,0.05,,Off Target,17.0,Right Foot,Volley,Ethan Pinnock,Shot,nan,nan,Sheffield Utd,e268f518
68,Yoane Wissa,Brentford,0.1,0.14,Saved,9.0,Head,,Vitaly Janelt,Pass (Live),Christian Nørgaard,Pass (Live),Sheffield Utd,e268f518
80,Yoane Wissa,Brentford,0.06,0.16,Saved,17.0,Right Foot,Volley,Christian Nørgaard,Pass (Dead),Michael Olakigbe,Pass (Live),Sheffield Utd,e268f518
80,Cameron Archer,Sheffield Utd,0.12,0.08,Saved,21.0,Right Foot,,Anis Ben Slimane,Pass (Live),Anel Ahmedhodžić,Pass (Live),Brentford,e268f518
82,Anis Ben Slimane,Sheffield Utd,0.15,,Off Target,9.0,Right Foot,,Anis Ben Slimane,Take-On,Anis Ben Slimane,Tackle,Brentford,e268f518
86,Cameron Archer,Sheffield Utd,0.04,,Off Target,29.0,Right Foot,,Jack Robinson,Pass (Live),nan,nan,Brentford,e268f518
88,Ben Mee,Brentford,0.07,,Blocked,11.0,Left Foot,,nan,nan,nan,nan,Sheffield Utd,e268f518
14,Harry Toffolo,Nott'ham Forest,0.17,0.07,Goal,6.0,Head,Deflected,Neco Williams,Pass (Live),Cheikhou Kouyaté,Pass (Live),Wolves,8c8fdba5
26,Hwang Hee-chan,Wolves,0.05,,Off Target,7.0,Head,,Hwang Hee-chan,Pass (Live),Toti Gomes,Pass (Dead),Nott'ham Forest,8c8fdba5
30,Matheus Cunha,Wolves,0.02,0.35,Saved,23.0,Left Foot,,Craig Dawson,Pass (Live),João Gomes,Pass (Live),Nott'ham Forest,8c8fdba5
32,Matheus Cunha,Wolves,0.6,0.87,Goal,9.0,Right Foot,,Pablo Sarabia,Pass (Live),Mario Lemina,Pass (Live),Nott'ham Forest,8c8fdba5
37,Hugo Bueno,Wolves,0.07,,Blocked,15.0,Left Foot,,Pablo Sarabia,Pass (Live),João Gomes,Pass (Live),Nott'ham Forest,8c8fdba5
39,Nelson Semedo,Wolves,0.02,,Off Target,30.0,Left Foot,,Pablo Sarabia,Pass (Live),Matheus Cunha,Pass (Live),Nott'ham Forest,8c8fdba5
45+5,Cheikhou Kouyate,Nott'ham Forest,0.13,0.27,Saved,21.0,Right Foot,,Cheikhou Kouyaté,Tackle,nan,nan,Wolves,8c8fdba5
45+5,Cheikhou Kouyate,Nott'ham Forest,0.08,,Off Target,9.0,Head,,Moussa Niakhate,Pass (Dead),Cheikhou Kouyaté,Shot,Wolves,8c8fdba5
50,Craig Dawson,Wolves,0.08,,Off Target,12.0,Right Foot,Volley,Pablo Sarabia,Pass (Dead),Matheus Cunha,Fouled,Nott'ham Forest,8c8fdba5
70,Harry Toffolo,Nott'ham Forest,0.76,,Off Target,4.0,Head,,Neco Williams,Pass (Live),Neco Williams,Tackle,Wolves,8c8fdba5
70,Matheus Cunha,Wolves,0.08,0.02,Saved,12.0,Head,,Boubacar Traoré,Pass (Live),Jean-Ricner Bellegarde,Pass (Live),Nott'ham Forest,8c8fdba5
71,Ryan Yates,Nott'ham Forest,0.05,,Off Target,18.0,Left Foot,,Anthony Elanga,Pass (Live),Harry Toffolo,Pass (Live),Wolves,8c8fdba5
73,Anthony Elanga,Nott'ham Forest,0.04,,Blocked,14.0,Right Foot,Volley,Morgan Gibbs-White,Pass (Live),Ryan Yates,Pass (Live),Wolves,8c8fdba5
75,Matheus Cunha,Wolves,0.06,0.03,Saved,11.0,Left Foot,,Matheus Cunha,Take-On,nan,nan,Nott'ham Forest,8c8fdba5
75,Matheus Cunha,Wolves,0.18,,Blocked,11.0,Right Foot,,Matheus Cunha,Shot,nan,nan,Nott'ham Forest,8c8fdba5
79,Boubacar Traore,Wolves,0.03,,Off Target,22.0,Right Foot,,Max Kilman,Pass (Live),Boubacar Traoré,Pass (Live),Nott'ham Forest,8c8fdba5
84,Felipe,Nott'ham Forest,0.04,,Blocked,8.0,Head,,Moussa Niakhate,Pass (Dead),nan,nan,Wolves,8c8fdba5
85,Morgan Gibbs-White,Nott'ham Forest,0.03,,Off Target,22.0,Right Foot,Volley,Felipe,Shot,nan,nan,Wolves,8c8fdba5
6,James Ward-Prowse,West Ham,0.04,0.34,Saved,36.0,Right Foot,Free kick,Kudus Mohammed,Fouled,Tomáš Souček,Interception,Fulham,d3dd23fb
11,Jarrod Bowen,West Ham,0.03,0.36,Saved,27.0,Left Foot,,Jarrod Bowen,Take-On,Lucas Paquetá,Pass (Live),Fulham,d3dd23fb
13,Alex Iwobi,Fulham,0.02,,Off Target,33.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Pass (Live),West Ham,d3dd23fb
15,Willian,Fulham,0.32,0.52,Saved,10.0,Right Foot,,Raúl Jiménez,Pass (Live),Willian,Pass (Live),West Ham,d3dd23fb
19,Alex Iwobi,Fulham,0.06,,Off Target,8.0,Head,,Andreas Pereira,Pass (Dead),Andreas Pereira,Pass (Live),West Ham,d3dd23fb
20,Joao Palhinha,Fulham,0.03,,Off Target,29.0,Right Foot,,Antonee Robinson,Pass (Live),Willian,Pass (Live),West Ham,d3dd23fb
22,Raul Jimenez,Fulham,0.09,0.41,Goal,8.0,Head,,João Palhinha,Pass (Live),Willian,Pass (Live),West Ham,d3dd23fb
29,Lucas Paqueta,West Ham,0.02,,Off Target,33.0,Left Foot,,nan,nan,nan,nan,Fulham,d3dd23fb
31,Alex Iwobi,Fulham,0.09,0.17,Saved,20.0,Right Foot,,Willian,Pass (Live),Raúl Jiménez,Pass (Live),West Ham,d3dd23fb
31,Alex Iwobi,Fulham,0.23,,Off Target,9.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Shot,West Ham,d3dd23fb
31,Willian,Fulham,0.15,0.9,Goal,11.0,Right Foot,,Alex Iwobi,Shot,nan,nan,West Ham,d3dd23fb
39,Jarrod Bowen,West Ham,0.43,0.37,Saved,9.0,Right Foot,Volley,Vladimír Coufal,Pass (Live),Tomáš Souček,Pass (Live),Fulham,d3dd23fb
40,Alex Iwobi,Fulham,0.12,,Blocked,12.0,Right Foot,Volley,Raúl Jiménez,Pass (Live),Antonee Robinson,Pass (Live),West Ham,d3dd23fb
41,Tosin Adarabioyo,Fulham,0.03,0.35,Goal,12.0,Head,Deflected,Andreas Pereira,Pass (Dead),Alex Iwobi,Shot,West Ham,d3dd23fb
56,Harry Wilson,Fulham,0.4,0.22,Saved,9.0,Left Foot,,Harry Wilson,Take-On,Andreas Pereira,Pass (Live),West Ham,d3dd23fb
57,Andreas Pereira,Fulham,0.02,,Off Target,50.0,Right Foot,,Alex Iwobi,Pass (Live),Antonee Robinson,Pass (Live),West Ham,d3dd23fb
60,Harry Wilson,Fulham,0.03,0.63,Goal,24.0,Left Foot,,Tom Cairney,Pass (Live),Alex Iwobi,Pass (Live),West Ham,d3dd23fb
65,Jarrod Bowen,West Ham,0.1,0.04,Saved,14.0,Right Foot,,Konstantinos Mavropanos,Pass (Live),Vladimír Coufal,Pass (Dead),Fulham,d3dd23fb
66,Said Benrahma,West Ham,0.32,0.21,Saved,9.0,Right Foot,,Jarrod Bowen,Pass (Live),Vladimír Coufal,Pass (Live),Fulham,d3dd23fb
69,Said Benrahma,West Ham,0.04,,Off Target,22.0,Right Foot,Volley,Jarrod Bowen,Pass (Live),Vladimír Coufal,Pass (Dead),Fulham,d3dd23fb
84,Divin Mubama,West Ham,0.15,,Blocked,12.0,Left Foot,,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live),Fulham,d3dd23fb
89,Carlos Vinicius,Fulham,0.8,0.82,Goal,12.0,Left Foot,,Harry Wilson,Pass (Live),Harrison Reed,Pass (Live),West Ham,d3dd23fb
