team,minute,score,player1,player2,event_type,game_id
Crystal Palace,80,1:1,Naouirou Ahamada,Jeffrey Schlupp,substitute_in,f4805536
Crystal Palace,80,1:1,Jean-Philippe Mateta,Odsonne Édouard,substitute_in,f4805536
Liverpool,54,1:0,Luis Díaz,Diogo Jota,substitute_in,5d4a5006
Liverpool,54,1:0,Ryan Gravenberch,Curtis Jones,substitute_in,5d4a5006
Liverpool,73,1:0,Cody Gakpo,Dominik Szoboszlai,substitute_in,5d4a5006
Liverpool,85,1:1,Wataru Endo,Alexis Mac Allister,substitute_in,5d4a5006
Liverpool,85,1:1,Harvey Elliott,Darwin Núñez,substitute_in,5d4a5006
Arsenal,66,0:0,Eddie Nketiah,Gabriel Jesus,substitute_in,626c6561
Brentford,72,0:0,Shandon Baptiste,Yehor Yarmoliuk,substitute_in,626c6561
Brentford,72,0:0,Neal Maupay,Yoane Wissa,substitute_in,626c6561
Arsenal,79,0:0,Kai Havertz,Gabriel Martinelli,substitute_in,626c6561
Brentford,90,0:1,Mathias Jørgensen,Saman Ghoddos,substitute_in,626c6561
Brentford,90+1,0:1,Keane Lewis-Potter,Frank Onyeka,substitute_in,626c6561
Arsenal,90+3,0:1,Ben White,Bukayo Saka,substitute_in,626c6561
Arsenal,90+3,0:1,Jorginho,Martin Ødegaard,substitute_in,626c6561
Tottenham Hotspur,32,1:0,Pierre Højbjerg,Rodrigo Bentancur,substitute_in,83db7754
Aston Villa,46,1:1,Youri Tielemans,Moussa Diaby,substitute_in,83db7754
Aston Villa,46,1:1,Leon Bailey,Matty Cash,substitute_in,83db7754
Tottenham Hotspur,71,1:2,Oliver Skipp,Bryan Gil,substitute_in,83db7754
Tottenham Hotspur,86,1:2,Alejo Véliz,Giovani Lo Celso,substitute_in,83db7754
Aston Villa,90+2,1:2,Jacob Ramsey,John McGinn,substitute_in,83db7754
Aston Villa,90+2,1:2,Jhon Durán,Ollie Watkins,substitute_in,83db7754
Nottingham Forest,46,0:0,Felipe,Willy Boly,substitute_in,0486198b
Nottingham Forest,65,0:0,Callum Hudson-Odoi,Ibrahim Sangaré,substitute_in,0486198b
Nottingham Forest,82,0:1,Divock Origi,Harry Toffolo,substitute_in,0486198b
Everton,82,0:1,Youssef Chermiti,Beto,substitute_in,0486198b
Sheffield United,25,1:0,Jayden Bogle,George Baldock,substitute_in,e2c53b0a
Sheffield United,46,2:0,Bénie Adama Traore,Cameron Archer,substitute_in,e2c53b0a
Sheffield United,46,2:0,William Osula,John Fleck,substitute_in,e2c53b0a
Sheffield United,46,2:0,James Mcatee,Luke Thomas,substitute_in,e2c53b0a
Burnley,65,2:0,Jóhann Berg Guðmundsson,Jacob Bruun Larsen,substitute_in,e2c53b0a
Burnley,77,4:0,Michael Obafemi,Jay Rodriguez,substitute_in,e2c53b0a
Burnley,77,4:0,Mike Trésor,Luca Koleosho,substitute_in,e2c53b0a
Burnley,77,4:0,Nathan Redmond,Zeki Amdouni,substitute_in,e2c53b0a
Burnley,83,5:0,Hjalmar Ekdal,Dara O'Shea,substitute_in,e2c53b0a
Manchester United,61,1:0,Rasmus Højlund,Anthony Martial,substitute_in,66a1f3ac
Manchester United,61,1:0,Antony,Marcus Rashford,substitute_in,66a1f3ac
Manchester United,80,1:0,Sofyan Amrabat,Kobbie Mainoo,substitute_in,66a1f3ac
Manchester United,80,1:0,Sergio Reguilón,Aaron Wan-Bissaka,substitute_in,66a1f3ac
Newcastle United,86,1:0,Martin Dúbravka,Nick Pope,substitute_in,66a1f3ac
Newcastle United,90+7,1:0,Matt Ritchie,Anthony Gordon,substitute_in,66a1f3ac
Wolverhampton Wanderers,23,2:0,Daniel Bentley,José Sá,substitute_in,6e65df8e
Wolverhampton Wanderers,62,2:0,Matt Doherty,Hugo Bueno,substitute_in,6e65df8e
Wolverhampton Wanderers,63,2:0,Pablo Sarabia,Jean-Ricner Bellegarde,substitute_in,6e65df8e
Arsenal,67,2:0,Eddie Nketiah,Gabriel Jesus,substitute_in,6e65df8e
Arsenal,78,2:0,Kai Havertz,Gabriel Martinelli,substitute_in,6e65df8e
Arsenal,79,2:0,Ben White,Takehiro Tomiyasu,substitute_in,6e65df8e
Arsenal,90+3,2:1,Jorginho,Martin Ødegaard,substitute_in,6e65df8e
Arsenal,90+3,2:1,Jakub Kiwior,Bukayo Saka,substitute_in,6e65df8e
Wolverhampton Wanderers,90+3,2:1,Sasa Kalajdzic,Tommy Doyle,substitute_in,6e65df8e
Luton Town,46,0:0,Jacob Brown,Tom Lockyer,substitute_in,0f71f535
Luton Town,60,2:0,Jordan Clark,Pelly Ruddock Mpanzu,substitute_in,0f71f535
Luton Town,60,2:0,Andros Townsend,Chiedozie Ogbene,substitute_in,0f71f535
Luton Town,60,2:0,Elijah Adebayo,Carlton Morris,substitute_in,0f71f535
Brentford,70,2:0,Shandon Baptiste,Yehor Yarmoliuk,substitute_in,0f71f535
Luton Town,76,2:1,Ryan John Giles,Teden Mengi,substitute_in,0f71f535
Brentford,77,2:1,Mads Roerslev,Saman Ghoddos,substitute_in,0f71f535
Brentford,78,2:1,Keane Lewis-Potter,Bryan Mbeumo,substitute_in,0f71f535
Brentford,90+2,3:1,Myles Peart-Harris,Neal Maupay,substitute_in,0f71f535
Crystal Palace,82,1:1,Jaïro Riedewald,Will Hughes,substitute_in,f7fb8049
Crystal Palace,87,1:1,Jean-Philippe Mateta,Odsonne Édouard,substitute_in,f7fb8049
West Ham United,89,1:1,Pablo Fornals,Edson Álvarez,substitute_in,f7fb8049
Aston Villa,46,1:1,Jacob Ramsey,Nicolò Zaniolo,substitute_in,19533403
Aston Villa,65,2:1,Jhon Durán,John McGinn,substitute_in,19533403
Bournemouth,70,2:1,Luis Sinisterra,Antoine Semenyo,substitute_in,19533403
Bournemouth,70,2:1,Philip Billing,Justin Kluivert,substitute_in,19533403
Aston Villa,74,2:1,Álex Moreno,Lucas Digne,substitute_in,19533403
Aston Villa,74,2:1,Moussa Diaby,Leon Bailey,substitute_in,19533403
Aston Villa,74,2:1,Matty Cash,Ezri Konsa,substitute_in,19533403
Bournemouth,83,2:1,Chris Mepham,Milos Kerkez,substitute_in,19533403
Bournemouth,90+3,2:2,Dango Ouattara,Marcus Tavernier,substitute_in,19533403
Luton Town,61,3:3,Carlton Morris,Elijah Adebayo,substitute_in,dd3a5afc
Luton Town,61,3:3,Tahith Chong,Jacob Brown,substitute_in,dd3a5afc
Luton Town,62,3:3,Chiedozie Ogbene,Andros Townsend,substitute_in,dd3a5afc
Arsenal,64,3:3,Leandro Trossard,Gabriel Martinelli,substitute_in,dd3a5afc
Arsenal,64,3:3,Oleksandr Zinchenko,Jakub Kiwior,substitute_in,dd3a5afc
Luton Town,88,3:3,Jordan Clark,Pelly Ruddock Mpanzu,substitute_in,dd3a5afc
Luton Town,88,3:3,Ryan John Giles,Alfie Doughty,substitute_in,dd3a5afc
Burnley,36,0:0,Jóhann Berg Guðmundsson,Luca Koleosho,substitute_in,a52ffb27
Burnley,70,1:0,Mike Trésor,Jacob Bruun Larsen,substitute_in,a52ffb27
Wolverhampton Wanderers,79,1:0,Jean-Ricner Bellegarde,Pablo Sarabia,substitute_in,a52ffb27
Wolverhampton Wanderers,87,1:0,Boubacar Traoré,Matheus Cunha,substitute_in,a52ffb27
Wolverhampton Wanderers,90+1,1:0,Matt Doherty,Hugo Bueno,substitute_in,a52ffb27
Burnley,90+2,1:0,Nathan Redmond,Hjalmar Ekdal,substitute_in,a52ffb27
Burnley,90+2,1:0,Wilson Odobert,Vitinho,substitute_in,a52ffb27
Liverpool,57,0:1,Curtis Jones,Alexis Mac Allister,substitute_in,01aca132
Liverpool,67,0:1,Darwin Núñez,Luis Díaz,substitute_in,01aca132
Liverpool,67,0:1,Harvey Elliott,Mohamed Salah,substitute_in,01aca132
Sheffield United,74,0:1,Bénie Adama Traore,William Osula,substitute_in,01aca132
Sheffield United,74,0:1,John Fleck,Andre Brooks,substitute_in,01aca132
Sheffield United,86,0:1,Oliver Norwood,Vinicius Souza,substitute_in,01aca132
Liverpool,86,0:1,Ryan Gravenberch,Cody Gakpo,substitute_in,01aca132
Sheffield United,88,0:1,Max Lowe,Auston Trusty,substitute_in,01aca132
Manchester United,46,1:1,Sergio Reguilón,Victor Lindelöf,substitute_in,49f486f6
Chelsea,46,1:1,Reece James,Marc Cucurella,substitute_in,49f486f6
Chelsea,77,2:1,Armando Broja,Mykhailo Mudryk,substitute_in,49f486f6
Manchester United,84,2:1,Marcus Rashford,Rasmus Højlund,substitute_in,49f486f6
Manchester United,90+2,2:1,Jonny Evans,Alejandro Garnacho,substitute_in,49f486f6
Nottingham Forest,46,2:0,Ryan Yates,Ibrahim Sangaré,substitute_in,fd5606da
Nottingham Forest,46,2:0,Morgan Gibbs-White,Nicolás Domínguez,substitute_in,fd5606da
Nottingham Forest,58,3:0,Chris Wood,Divock Origi,substitute_in,fd5606da
Nottingham Forest,58,3:0,Danilo,Callum Hudson-Odoi,substitute_in,fd5606da
Fulham,63,3:0,Harry Wilson,Willian,substitute_in,fd5606da
Fulham,75,4:0,Fodé Ballo-Touré,Antonee Robinson,substitute_in,fd5606da
Fulham,76,4:0,Bobby Reid,Alex Iwobi,substitute_in,fd5606da
Nottingham Forest,76,4:0,Moussa Niakhate,Felipe,substitute_in,fd5606da
Fulham,79,4:0,Saša Lukić,João Palhinha,substitute_in,fd5606da
Fulham,79,4:0,Carlos Vinícius,Raúl Jiménez,substitute_in,fd5606da
Crystal Palace,29,0:1,Nathaniel Clyne,Tyrick Mitchell,substitute_in,09909bf8
Bournemouth,62,0:1,Marcus Tavernier,Antoine Semenyo,substitute_in,09909bf8
Bournemouth,62,0:1,Philip Billing,Justin Kluivert,substitute_in,09909bf8
Crystal Palace,69,0:1,Will Hughes,Jeffrey Schlupp,substitute_in,09909bf8
Crystal Palace,69,0:1,Naouirou Ahamada,Joel Ward,substitute_in,09909bf8
Bournemouth,79,0:1,Dango Ouattara,Luis Sinisterra,substitute_in,09909bf8
Crystal Palace,86,0:1,Jean-Philippe Mateta,Jefferson Lerma,substitute_in,09909bf8
Bournemouth,88,0:1,Kieffer Moore,Dominic Solanke,substitute_in,09909bf8
Manchester City,68,0:0,Matheus Nunes,Rico Lewis,substitute_in,0ad90506
Manchester City,68,0:0,Mateo Kovačić,Julián Álvarez,substitute_in,0ad90506
Manchester City,73,0:0,Oscar Bobb,Phil Foden,substitute_in,0ad90506
Aston Villa,85,1:0,Jacob Ramsey,Youri Tielemans,substitute_in,0ad90506
Aston Villa,85,1:0,Moussa Diaby,Leon Bailey,substitute_in,0ad90506
Aston Villa,90,1:0,Álex Moreno,Lucas Digne,substitute_in,0ad90506
Aston Villa,90,1:0,Jhon Durán,Ollie Watkins,substitute_in,0ad90506
Everton,67,0:0,Nathan Patterson,Séamus Coleman,substitute_in,2fe9d766
Everton,85,1:0,Beto,Dominic Calvert-Lewin,substitute_in,2fe9d766
Newcastle United,90,2:0,Emil Krafth,Jamaal Lascelles,substitute_in,2fe9d766
Newcastle United,90,2:0,Matt Ritchie,Lewis Miley,substitute_in,2fe9d766
Tottenham Hotspur,67,1:1,Richarlison,Pierre Højbjerg,substitute_in,200af033
Tottenham Hotspur,67,1:1,Oliver Skipp,Giovani Lo Celso,substitute_in,200af033
Tottenham Hotspur,84,1:2,Bryan Gil,Yves Bissouma,substitute_in,200af033
Tottenham Hotspur,84,1:2,Pape Matar Sarr,Brennan Johnson,substitute_in,200af033
Tottenham Hotspur,88,1:2,Alejo Véliz,Son Heung-min,substitute_in,200af033
West Ham United,88,1:2,Pablo Fornals,Kudus Mohammed,substitute_in,200af033
Aston Villa,46,1:0,Moussa Diaby,Leon Bailey,substitute_in,8cf29e50
Aston Villa,56,1:0,Jacob Ramsey,Youri Tielemans,substitute_in,8cf29e50
Aston Villa,66,1:0,Matty Cash,Ezri Konsa,substitute_in,8cf29e50
Aston Villa,67,1:0,Leander Dendoncker,Boubacar Kamara,substitute_in,8cf29e50
Arsenal,70,1:0,Leandro Trossard,Gabriel Martinelli,substitute_in,8cf29e50
Aston Villa,78,1:0,Álex Moreno,Lucas Digne,substitute_in,8cf29e50
Arsenal,81,1:0,Eddie Nketiah,Gabriel Jesus,substitute_in,8cf29e50
Arsenal,90+4,1:0,Reiss Nelson,Oleksandr Zinchenko,substitute_in,8cf29e50
Brighton & Hove Albion,46,0:1,Kaoru Mitoma,Adam Lallana,substitute_in,ab18fa97
Brighton & Hove Albion,46,0:1,Billy Gilmour,Mahmoud Dahoud,substitute_in,ab18fa97
Burnley,58,0:1,Aaron Ramsey,Jóhann Berg Guðmundsson,substitute_in,ab18fa97
Brighton & Hove Albion,59,0:1,Jack Hinshelwood,James Milner,substitute_in,ab18fa97
Brighton & Hove Albion,59,0:1,Igor,Carlos Baleba,substitute_in,ab18fa97
Burnley,78,1:1,Nathan Redmond,Jay Rodriguez,substitute_in,ab18fa97
Burnley,78,1:1,Mike Trésor,Wilson Odobert,substitute_in,ab18fa97
Burnley,79,1:1,Connor Roberts,Aaron Ramsey,substitute_in,ab18fa97
Burnley,82,1:1,Hjalmar Ekdal,Zeki Amdouni,substitute_in,ab18fa97
Brighton & Hove Albion,85,1:1,Facundo Buonanotte,Lewis Dunk,substitute_in,ab18fa97
Manchester United,56,0:1,Rasmus Højlund,Anthony Martial,substitute_in,0760a568
Bournemouth,58,0:1,Philip Billing,Antoine Semenyo,substitute_in,0760a568
Bournemouth,72,0:2,Luis Sinisterra,Justin Kluivert,substitute_in,0760a568
Manchester United,79,0:3,Facundo Pellistri,Antony,substitute_in,0760a568
Manchester United,79,0:3,Jonny Evans,Luke Shaw,substitute_in,0760a568
Manchester United,79,0:3,Marcus Rashford,Alejandro Garnacho,substitute_in,0760a568
Bournemouth,88,0:3,Dango Ouattara,Marcus Tavernier,substitute_in,0760a568
Bournemouth,88,0:3,Joe Rothwell,Lewis Cook,substitute_in,0760a568
Brentford,46,1:0,Yehor Yarmoliuk,Frank Onyeka,substitute_in,e268f518
Sheffield United,53,1:0,Anis Ben Slimane,William Osula,substitute_in,e268f518
Brentford,65,1:0,Mikkel Damsgaard,Shandon Baptiste,substitute_in,e268f518
Brentford,66,1:0,Michael Olakigbe,Keane Lewis-Potter,substitute_in,e268f518
Sheffield United,73,1:0,Max Lowe,Andre Brooks,substitute_in,e268f518
Sheffield United,81,1:0,Sydie Peck,James Mcatee,substitute_in,e268f518
Wolverhampton Wanderers,61,1:1,Boubacar Traoré,Mario Lemina,substitute_in,8c8fdba5
Nottingham Forest,63,1:1,Danilo,Cheikhou Kouyaté,substitute_in,8c8fdba5
Wolverhampton Wanderers,69,1:1,Jean-Ricner Bellegarde,Pablo Sarabia,substitute_in,8c8fdba5
Wolverhampton Wanderers,69,1:1,Matt Doherty,Hugo Bueno,substitute_in,8c8fdba5
Nottingham Forest,77,1:1,Felipe,Murillo,substitute_in,8c8fdba5
Nottingham Forest,84,1:1,Chris Wood,Anthony Elanga,substitute_in,8c8fdba5
Wolverhampton Wanderers,90+1,1:1,Sasa Kalajdzic,Matheus Cunha,substitute_in,8c8fdba5
Fulham,46,3:0,Harry Wilson,Willian,substitute_in,d3dd23fb
West Ham United,46,3:0,Emerson Palmieri,Pablo Fornals,substitute_in,d3dd23fb
West Ham United,46,3:0,Konstantinos Mavropanos,Aaron Cresswell,substitute_in,d3dd23fb
West Ham United,64,4:0,Divin Mubama,Kudus Mohammed,substitute_in,d3dd23fb
West Ham United,64,4:0,Angelo Ogbonna,Kurt Zouma,substitute_in,d3dd23fb
West Ham United,65,4:0,Saïd Benrahma,Lucas Paquetá,substitute_in,d3dd23fb
Fulham,72,4:0,Fodé Ballo-Touré,Antonee Robinson,substitute_in,d3dd23fb
Fulham,72,4:0,Carlos Vinícius,Raúl Jiménez,substitute_in,d3dd23fb
Fulham,79,4:0,Bobby Reid,Alex Iwobi,substitute_in,d3dd23fb
Fulham,80,4:0,Harrison Reed,João Palhinha,substitute_in,d3dd23fb
Chelsea,27,0:0,Levi Colwill,Reece James,substitute_in,953b5f9b
Everton,41,0:0,Nathan Patterson,Ashley Young,substitute_in,953b5f9b
Everton,46,0:0,Amadou Onana,Idrissa Gana Gueye,substitute_in,953b5f9b
Chelsea,66,1:0,Raheem Sterling,Enzo Fernández,substitute_in,953b5f9b
Everton,67,1:0,Beto,Dominic Calvert-Lewin,substitute_in,953b5f9b
Chelsea,67,1:0,Nicolas Jackson,Armando Broja,substitute_in,953b5f9b
Chelsea,84,1:0,Đorđe Petrović,Robert Sánchez,substitute_in,953b5f9b
Chelsea,84,1:0,Ian Maatsen,Marc Cucurella,substitute_in,953b5f9b
Everton,86,1:0,Lewis Dobbin,Jack Harrison,substitute_in,953b5f9b
Manchester City,69,1:2,John Stones,Joško Gvardiol,substitute_in,f6155857
Luton Town,72,1:2,Albert Sambi Lokonga,Marvelous Nakamba,substitute_in,f6155857
Luton Town,72,1:2,Carlton Morris,Andros Townsend,substitute_in,f6155857
Manchester City,83,1:2,Matheus Nunes,Mateo Kovačić,substitute_in,f6155857
Luton Town,84,1:2,Tahith Chong,Ryan John Giles,substitute_in,f6155857
Luton Town,90,1:2,Jordan Clark,Tom Lockyer,substitute_in,f6155857
Manchester City,90+3,1:2,Manuel Akanji,Phil Foden,substitute_in,f6155857
Tottenham Hotspur,32,0:0,Oliver Skipp,Brennan Johnson,substitute_in,4d9f1a71
Nottingham Forest,67,0:2,Danilo,Cheikhou Kouyaté,substitute_in,4d9f1a71
Nottingham Forest,67,0:2,Chris Wood,Willy Boly,substitute_in,4d9f1a71
Tottenham Hotspur,72,0:2,Pierre Højbjerg,Richarlison,substitute_in,4d9f1a71
Nottingham Forest,83,0:2,Callum Hudson-Odoi,Orel Mangala,substitute_in,4d9f1a71
Tottenham Hotspur,88,0:2,Emerson,Son Heung-min,substitute_in,4d9f1a71
Tottenham Hotspur,90+9,0:2,Alejo Véliz,Dejan Kulusevski,substitute_in,4d9f1a71
Bournemouth,46,0:1,Philip Billing,Antoine Semenyo,substitute_in,a32a8157
Luton Town,59,1:1,Pelly Ruddock Mpanzu,Albert Sambi Lokonga,substitute_in,a32a8157
Luton Town,59,1:1,Carlton Morris,Elijah Adebayo,substitute_in,a32a8157
Luton Town,59,1:1,Chiedozie Ogbene,Andros Townsend,substitute_in,a32a8157
Burnley,46,0:2,Lyle Foster,Jay Rodriguez,substitute_in,01904d1d
Everton,46,0:2,Lewis Dobbin,Abdoulaye Doucouré,substitute_in,01904d1d
Burnley,70,0:2,Ameen Al-Dakhil,Hannes Delcroix,substitute_in,01904d1d
Burnley,82,0:2,Benson Manuel,Jacob Bruun Larsen,substitute_in,01904d1d
Everton,82,0:2,Beto,Dominic Calvert-Lewin,substitute_in,01904d1d
Burnley,87,0:2,Nathan Redmond,Vitinho,substitute_in,01904d1d
Burnley,87,0:2,Mike Trésor,Wilson Odobert,substitute_in,01904d1d
Sheffield United,58,1:0,William Osula,Andre Brooks,substitute_in,3bbbaf15
Sheffield United,67,2:0,Oliver Norwood,Oliver McBurnie,substitute_in,3bbbaf15
Chelsea,69,2:0,Enzo Fernández,Mykhailo Mudryk,substitute_in,3bbbaf15
Chelsea,75,2:0,Armando Broja,Raheem Sterling,substitute_in,3bbbaf15
Sheffield United,80,2:0,Anis Ben Slimane,Gustavo Hamer,substitute_in,3bbbaf15
Chelsea,90+4,2:0,Ian Maatsen,Cole Palmer,substitute_in,3bbbaf15
Chelsea,90+4,2:0,Malo Gusto,Nicolas Jackson,substitute_in,3bbbaf15
Newcastle United,14,0:0,Emil Krafth,Fabian Schär,substitute_in,5db0f25b
Newcastle United,36,0:0,Lewis Miley,Joelinton,substitute_in,5db0f25b
Fulham,61,1:0,Rodrigo Muniz,Timothy Castagne,substitute_in,5db0f25b
Fulham,61,1:0,Kenny Tete,Andreas Pereira,substitute_in,5db0f25b
Fulham,76,2:0,Saša Lukić,Tom Cairney,substitute_in,5db0f25b
Fulham,77,2:0,Harrison Reed,João Palhinha,substitute_in,5db0f25b
Fulham,77,2:0,Bobby Reid,Alex Iwobi,substitute_in,5db0f25b
Newcastle United,84,3:0,Matt Ritchie,Valentino Livramento,substitute_in,5db0f25b
Newcastle United,84,3:0,Sven Botman,Dan Burn,substitute_in,5db0f25b
Newcastle United,84,3:0,Lewis Hall,Anthony Gordon,substitute_in,5db0f25b
West Ham United,70,2:0,Pablo Fornals,Edson Álvarez,substitute_in,5f5bc7b3
Wolverhampton Wanderers,70,2:0,Rayan Aït Nouri,Toti Gomes,substitute_in,5f5bc7b3
Wolverhampton Wanderers,79,3:0,Tommy Doyle,Mario Lemina,substitute_in,5f5bc7b3
Wolverhampton Wanderers,80,3:0,Matt Doherty,Nélson Semedo,substitute_in,5f5bc7b3
West Ham United,86,3:0,Danny Ings,Kudus Mohammed,substitute_in,5f5bc7b3
West Ham United,86,3:0,Divin Mubama,Lucas Paquetá,substitute_in,5f5bc7b3
West Ham United,90+1,3:0,Thilo Kehrer,Vladimír Coufal,substitute_in,5f5bc7b3
Liverpool,61,0:0,Cody Gakpo,Ryan Gravenberch,substitute_in,18e98d77
Liverpool,61,0:0,Joe Gomez,Dominik Szoboszlai,substitute_in,18e98d77
Manchester United,71,0:0,Marcus Rashford,Alejandro Garnacho,substitute_in,18e98d77
Liverpool,78,0:0,Harvey Elliott,Darwin Núñez,substitute_in,18e98d77
Liverpool,78,0:0,Curtis Jones,Luis Díaz,substitute_in,18e98d77
Manchester United,82,0:0,Hannibal Mejbri,Kobbie Mainoo,substitute_in,18e98d77
Manchester United,82,0:0,Facundo Pellistri,Antony,substitute_in,18e98d77
Brighton & Hove Albion,27,0:0,Jack Hinshelwood,Joël Veltman,substitute_in,e3a46a4e
Brighton & Hove Albion,60,1:0,João Pedro,Evan Ferguson,substitute_in,e3a46a4e
Brighton & Hove Albion,60,1:0,Facundo Buonanotte,Adam Lallana,substitute_in,e3a46a4e
Brighton & Hove Albion,60,1:0,Igor,James Milner,substitute_in,e3a46a4e
Brighton & Hove Albion,79,1:0,Danny Welbeck,Simon Adingra,substitute_in,e3a46a4e
Arsenal,81,1:0,Eddie Nketiah,Gabriel Jesus,substitute_in,e3a46a4e
Arsenal,82,1:0,Leandro Trossard,Gabriel Martinelli,substitute_in,e3a46a4e
Arsenal,89,2:0,Emile Smith Rowe,Kai Havertz,substitute_in,e3a46a4e
Arsenal,89,2:0,Reiss Nelson,Bukayo Saka,substitute_in,e3a46a4e
Arsenal,90+3,2:0,Jakub Kiwior,Oleksandr Zinchenko,substitute_in,e3a46a4e
Aston Villa,65,1:0,Jhon Durán,Moussa Diaby,substitute_in,4a3af0ab
Aston Villa,65,1:0,Leon Bailey,Matty Cash,substitute_in,4a3af0ab
Brentford,68,1:0,Neal Maupay,Keane Lewis-Potter,substitute_in,4a3af0ab
Brentford,68,1:0,Frank Onyeka,Mikkel Damsgaard,substitute_in,4a3af0ab
Brentford,76,1:0,Nathan Collins,Yoane Wissa,substitute_in,4a3af0ab
Aston Villa,81,1:1,Nicolò Zaniolo,Pau Torres,substitute_in,4a3af0ab
Brentford,88,1:2,Yehor Yarmoliuk,Vitaly Janelt,substitute_in,4a3af0ab
Brentford,89,1:2,Michael Olakigbe,Mads Roerslev,substitute_in,4a3af0ab
Aston Villa,90,1:2,Leander Dendoncker,Jacob Ramsey,substitute_in,4a3af0ab
Brighton & Hove Albion,46,1:0,Danny Welbeck,Simon Adingra,substitute_in,7340be7a
Brighton & Hove Albion,46,1:0,Facundo Buonanotte,Carlos Baleba,substitute_in,7340be7a
Crystal Palace,59,1:0,David Ozoh,Will Hughes,substitute_in,7340be7a
Crystal Palace,70,1:0,Eberechi Eze,Jordan Ayew,substitute_in,7340be7a
Brighton & Hove Albion,75,1:0,Adam Lallana,Jack Hinshelwood,substitute_in,7340be7a
Brighton & Hove Albion,83,1:1,Jakub Moder,Kaoru Mitoma,substitute_in,7340be7a
Sheffield United,58,0:0,Max Lowe,Yasser Larouci,substitute_in,37916998
Sheffield United,58,0:0,Gustavo Hamer,Andre Brooks,substitute_in,37916998
Aston Villa,74,0:0,Jhon Durán,Moussa Diaby,substitute_in,37916998
Aston Villa,74,0:0,Álex Moreno,Lucas Digne,substitute_in,37916998
Sheffield United,76,0:0,James Mcatee,Anis Ben Slimane,substitute_in,37916998
Aston Villa,81,0:0,Nicolò Zaniolo,Leon Bailey,substitute_in,37916998
Sheffield United,90,0:1,Oliver McBurnie,Cameron Archer,substitute_in,37916998
Burnley,46,0:0,Mike Trésor,Jacob Bruun Larsen,substitute_in,7dd3c51a
Fulham,64,0:1,Carlos Vinícius,Rodrigo Muniz,substitute_in,7dd3c51a
Fulham,65,0:1,Bobby Reid,Andreas Pereira,substitute_in,7dd3c51a
Burnley,65,0:1,Jay Rodriguez,Lyle Foster,substitute_in,7dd3c51a
Burnley,80,0:2,Connor Roberts,Wilson Odobert,substitute_in,7dd3c51a
Burnley,80,0:2,Nathan Redmond,Zeki Amdouni,substitute_in,7dd3c51a
Fulham,82,0:2,Fodé Ballo-Touré,Antonee Robinson,substitute_in,7dd3c51a
Fulham,82,0:2,Harrison Reed,João Palhinha,substitute_in,7dd3c51a
Burnley,89,0:2,Hannes Delcroix,Mike Trésor,substitute_in,7dd3c51a
Liverpool,35,1:1,Joe Gomez,Kostas Tsimikas,substitute_in,bfbfbbe8
Liverpool,68,1:1,Harvey Elliott,Luis Díaz,substitute_in,bfbfbbe8
Liverpool,68,1:1,Ryan Gravenberch,Curtis Jones,substitute_in,bfbfbbe8
Liverpool,68,1:1,Darwin Núñez,Cody Gakpo,substitute_in,bfbfbbe8
Arsenal,68,1:1,Leandro Trossard,Gabriel Martinelli,substitute_in,bfbfbbe8
Arsenal,78,1:1,Eddie Nketiah,Gabriel Jesus,substitute_in,bfbfbbe8
Newcastle United,37,1:0,Sven Botman,Jamaal Lascelles,substitute_in,46bfb645
Newcastle United,38,1:0,Alexander Isak,Lewis Miley,substitute_in,46bfb645
Luton Town,46,1:0,Ryan John Giles,Issa Kaboré,substitute_in,46bfb645
Luton Town,76,1:0,Mads Juel Andersen,Amari'i Bell,substitute_in,46bfb645
Luton Town,80,1:0,Pelly Ruddock Mpanzu,Albert Sambi Lokonga,substitute_in,46bfb645
Luton Town,80,1:0,Carlton Morris,Elijah Adebayo,substitute_in,46bfb645
Luton Town,81,1:0,Chiedozie Ogbene,Andros Townsend,substitute_in,46bfb645
Newcastle United,81,1:0,Valentino Livramento,Miguel Almirón,substitute_in,46bfb645
Newcastle United,85,1:0,Lewis Hall,Dan Burn,substitute_in,46bfb645
Nottingham Forest,26,0:0,Moussa Niakhate,Divock Origi,substitute_in,c5548935
Bournemouth,29,0:0,Alex Scott,Lewis Cook,substitute_in,c5548935
Nottingham Forest,46,0:0,Callum Hudson-Odoi,Orel Mangala,substitute_in,c5548935
Bournemouth,70,1:2,Luis Sinisterra,Antoine Semenyo,substitute_in,c5548935
Bournemouth,70,1:2,Joe Rothwell,Alex Scott,substitute_in,c5548935
Bournemouth,81,2:2,David Brooks,Philip Billing,substitute_in,c5548935
Bournemouth,82,2:2,Kieffer Moore,Dango Ouattara,substitute_in,c5548935
Nottingham Forest,85,2:2,Ola Aina,Harry Toffolo,substitute_in,c5548935
Nottingham Forest,90+3,2:2,Danilo,Morgan Gibbs-White,substitute_in,c5548935
Everton,24,2:0,André Gomes,Idrissa Gana Gueye,substitute_in,849071fe
Tottenham Hotspur,46,2:0,Eric Dier,Cristian Romero,substitute_in,849071fe
Tottenham Hotspur,63,2:0,Pierre Højbjerg,Richarlison,substitute_in,849071fe
Everton,66,2:0,Arnaut Danjuma,Jack Harrison,substitute_in,849071fe
Tottenham Hotspur,73,2:0,Giovani Lo Celso,Pape Matar Sarr,substitute_in,849071fe
